sample_id,Phocaeicola.vulgatus,Bacteroides.stercoris,Acidaminococcus.intestini,Eubacterium.sp..CAG.38,Parabacteroides.distasonis,Roseburia.faecis,X.Eubacterium..rectale,Bacteroides.uniformis,Proteobacteria.bacterium.CAG.139,Fusicatenibacter.saccharivorans,Alistipes.putredinis,Collinsella.aerofaciens,Coprococcus.comes,Parasutterella.excrementihominis,Anaerostipes.hadrus,Anaerobutyricum.hallii,Alistipes.finegoldii,Dorea.longicatena,Bifidobacterium.longum,Clostridium.disporicum,Faecalibacterium.prausnitzii,Dialister.invisus,X.Ruminococcus..torques,Blautia.wexlerae,Blautia.obeum,Bacteroides.cellulosilyticus,Agathobaculum.butyriciproducens,Turicimonas.muris,Flavonifractor.plautii,X.Ruminococcus..lactaris,Escherichia.coli,X.Ruminococcus..gnavus,Bilophila.wadsworthia,Roseburia.inulinivorans,Eubacterium.ventriosum,Clostridium.sp..CAG.58,Eggerthella.lenta,Streptococcus.salivarius,Dorea.formicigenerans,Bacteroides.fragilis,Blautia.sp..CAG.257,Ruthenibacterium.lactatiformans,Gordonibacter.pamelaeae,Clostridium.bolteae.CAG.59,Lacrimispora.saccharolytica,Streptococcus.thermophilus,Adlercreutzia.equolifaciens,Firmicutes.bacterium.CAG.83,Enterocloster.bolteae,Collinsella.intestinalis,Prevotella.copri,Roseburia.hominis,Holdemania.filiformis,Gemmiger.formicilis,Roseburia.sp..CAG.471,Streptococcus.parasanguinis,Lawsonibacter.asaccharolyticus,Ruminococcus.bromii,Eubacterium.sp..CAG.180,Bifidobacterium.adolescentis,Ruminococcus.bicirculans,Lachnospira.eligens,Bacteroides.xylanisolvens,Parabacteroides.merdae,Oscillibacter.sp..CAG.241,Phocaeicola.dorei,Bacteroides.caccae,Bacteroides.ovatus,Coprococcus.catus,Megamonas.funiformis,Oscillibacter.sp..57_20,Holdemanella.biformis,Bacteroides.thetaiotaomicron,Odoribacter.splanchnicus,Barnesiella.intestinihominis,Sellimonas.intestinalis,Eubacterium.ramulus,Ruminococcus.callidus,Slackia.isoflavoniconvertens,Butyricimonas.synergistica,Haemophilus.parainfluenzae,Alistipes.inops,Butyricimonas.virosa,Turicibacter.sanguinis,Intestinibacter.bartlettii,X.Clostridium..spiroforme,X.Eubacterium..siraeum,Veillonella.parvula,Enterocloster.citroniae,Anaerotruncus.colihominis,Akkermansia.muciniphila,Bifidobacterium.bifidum,Methanobrevibacter.smithii,Dialister.sp..CAG.357,Lachnospira.pectinoschiza,Bacteroides.finegoldii,Alistipes.shahii,Firmicutes.bacterium.CAG.110,Roseburia.intestinalis,Parabacteroides.johnsonii,Eubacterium.sp..CAG.274,Parabacteroides.goldsteinii,Firmicutes.bacterium.CAG.94,Anaeromassilibacillus.sp..An250,Clostridium.sp..CAG.167,Phascolarctobacterium.faecium,Lactobacillus.rogosae,Firmicutes.bacterium.CAG.95,Clostridium.sp..CAG.242,Alistipes.indistinctus,X.Clostridium..leptum,Bacteroides.galacturonicus,Intestinimonas.butyriciproducens,Eisenbergiella.tayi,Ruminococcaceae.bacterium.D16,Coprococcus.eutactus,Phocaeicola.massiliensis,Bacteroides.eggerthii,Veillonella.atypica,Bacteroides.salyersiae,Enterocloster.asparagiformis,Coprobacter.fastidiosus,Veillonella.dispar,Haemophilus.sp..HMSC71H05,Phocaeicola.plebeius,Paraprevotella.xylaniphila,Bifidobacterium.pseudocatenulatum,Bacteroides.faecis,Bacteroides.nordii,Monoglobus.pectinilyticus,Roseburia.sp..CAG.309,Dielma.fastidiosa,Blautia.hydrogenotrophica,Coprobacillus.cateniformis,Enterocloster.aldenensis,Firmicutes.bacterium.CAG.145,Enterocloster.clostridioformis,X.Clostridium..symbiosum,Enorma.massiliensis,Phascolarctobacterium.succinatutens,Eubacterium.sp..CAG.251,Phocaeicola.coprocola,Tractidigestivibacter.scatoligenes,X.Clostridium..innocuum,Enterocloster.lavalensis,Klebsiella.variicola,Tyzzerella.nexilis,Desulfovibrio.piger,Bacteroides.intestinalis,Hungatella.hathewayi,Erysipelatoclostridium.ramosum,Blautia.producta,Anaerotignum.lactatifermentans,Clostridium.sp..CAG.299,Veillonella.infantium,Klebsiella.pneumoniae,Veillonella.sp..T11011.6,Eisenbergiella.massiliensis,Dorea.sp..CAG.317,disease
HD-1,0.330180367,0.000123415,0,0.013243244,0.022379914,0.002210171,0.014036257,0.04770554,0.010489588,0.000508254,0.002162612,0.000491182,0,0.001882376,0.000849425,0.000189833,0,0.000231025,0,0,0.000108971,0,0.001102746,0.000450979,0.000322813,0,0.000328175,0.000198223,0.010906896,0.000129609,0.000509004,0.000308355,0.000485439,0.004595025,0.001641252,0,0.000120147,0.000300003,0.000355335,0.014821476,6.47E-05,0.000649215,5.32E-05,0.000181018,0,4.40E-05,0,0.001132226,9.77E-05,0,0.000180272,0.00119091,0.000294376,0,0,1.22E-05,0.000216288,0.005284549,0,0,0.008975641,0.007437698,0.005222316,0.014419574,0,0.106525543,7.39E-05,0.0414638,0,6.38E-05,0,0,0.010266579,0.004424242,0,0,0,0,0,0.000242129,8.21E-05,0,0.001300477,7.01E-05,0.000589374,0,0,9.75E-06,8.35E-05,0,0,0,0,0.001191382,4.13E-05,0.070214335,0.006445141,0,0.011002754,0,0.000169327,0,0,0,0,0.001214664,0,0,0.001122996,0,0,0,0.001110124,0,0,0,2.78E-05,0.20233811,0,0,9.69E-05,0,0,0,0.000180522,0,0,0,6.98E-05,0,0,0,0,0,0,0,3.70E-05,0,2.48E-05,0,0.001315687,0,0,5.25E-05,0,0.000479536,0.000135314,0,0,3.30E-05,0,0,0,0.002179705,0,0.001795345,0,0,0,0
HD-10,0.021687773,0.072498348,0,9.44E-05,0.032463992,0.000184768,0.002186497,0.013432545,0.010626897,8.62E-05,0.053301481,0,0,0.001877908,0.000135421,5.36E-05,0.001372616,0.000314077,0,0,0.019926162,0,0.000895899,8.75E-05,0.000750526,0,7.91E-05,0.000351906,0.05514634,0,0.009616568,0.000721796,0.002178364,0.024832221,9.56E-06,0,0.000233263,3.02E-05,0.000150663,0,0,0.001395041,3.51E-05,0.000143535,0,0,0,0,0.000595119,0,0.000466813,0.0030534,0.001452255,2.81E-05,0,0,2.86E-05,0,0.001529368,0,0,0.002487909,0.008876772,0.005952876,0,0.149480354,0.00017675,0.06536752,0,0.001909662,3.91E-05,0,0.003098954,0.005189963,1.70E-05,0,0.000169419,0,0,1.27E-05,0,0,0.00067672,0,5.58E-05,0,0,0,0.00020156,0,0,0,0,8.59E-06,0.000436098,0.088184078,0.001506546,0,0,0.002675214,0,0.00093553,0,0,0,0.00835631,1.27E-05,0,0,0,8.46E-05,0,0.000158957,0,0,0,0.017621855,0,0,0.010920065,0.000320477,0,0,0,0.081694975,0.003862897,0,0,0,0,0,0,0,0,0,5.57E-05,0,0.000113219,0,0,0,0.026664236,0,0,0,0,0,0,0.000227451,0.000236821,0,0,0,0.001200563,0,0,0,0,0,0
HD-13,0.438562621,0.125588028,0,0.012989865,0.006239772,0.019129937,1.37E-05,0.072675936,0.005026871,0.000588283,0.092630443,0,0,0.002097934,0.00116294,0.000244755,0,0.000101538,0,0,0.022745175,0,0,0.000473196,0.000126596,0,1.78E-05,0.000787367,0.003029539,0,0.001004357,0.000704454,0,0.0082649,0.005010688,0,3.71E-06,0.000183893,0.000118529,0,0,0,0,0,0,0,0,0.001737463,0,0,0.000885198,9.62E-05,0,3.22E-05,0,0,0,0.004667822,0,0,0,0.000636352,0.053430457,0.017024806,2.22E-05,0,0.027318272,0.014044128,0,1.10E-05,0,0,0.004675287,0.008851659,0,0,0,0,0,0,0,0,0,0,8.87E-05,0,0,0.000151953,0,0,0,0,0,0,0,0,0.000354283,0,0,0,0.000849005,0,0,0,0,0.002681951,0,0,0,0,0,0,0,0,0,0,0,2.64E-05,0,0,0.000169408,0,0,0,0.039365392,0,0.000607258,0,3.64E-05,0,0,0,0,0.000679607,0,0,3.54E-05,0,0,0,0.001732742,3.14E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HD-16,0.222832293,0.000140685,0,0.018474977,0.016134913,0.010464177,0.032027642,0.146667422,0.009314443,0.00108045,0.077700108,0,0.000165964,0.001323561,0.000991402,0.000422398,0.000859142,0.000636232,0,4.75E-05,0.083051824,0,0.001016267,0.000573526,0.000534046,0.005400824,0.000289526,0.000564126,0.001382423,0,0.000680791,0.00020289,0.000353935,0.020760206,0.00096956,0,0.000144524,4.17E-05,0.000483919,0.093059247,0,0.000385896,8.78E-05,0,0,0,0.000359069,0.001302495,2.67E-05,0,0.000400551,0.000435225,5.14E-05,0.000530781,4.02E-05,0,7.42E-05,0.002343529,0,0,0.005393646,0.026439425,0.029528109,0,0.001368651,0.093191615,2.59E-05,0.003535688,1.62E-05,0,0.010395825,0,0.019039294,0.010419116,0,0,0.000186602,7.55E-05,0,0,9.49E-05,0,0,0,0.000234673,0,0,0,9.34E-05,6.97E-05,0,2.11E-05,0,0.00176773,9.50E-05,0.010747273,0,0,0.004717045,0,0,0,0,0,0,0.003800217,0,4.21E-05,0,0.000137568,0,0,0.000162749,0,0,0,0,0.000182294,0,0.006924609,3.40E-05,0,0,0,0.000168324,0,7.36E-06,0,0,0,0,9.93E-05,0,0,0,0,0,0.000112215,2.22E-05,0,0,0,0,0,0,0,0,0,0,0.0003147,0,0,0,0.000306218,0,0,0,0,0,0
HD-2,0.372002819,0.000217127,0,0,0.013559632,0.011431093,0.000286446,0.09151355,0.000546473,0.000789723,0.062919229,0,0.00012777,0.0001048,0.000340558,3.62E-05,0.003614799,0.000129437,0,0,0.050819054,0,0.000471435,0.000256106,3.54E-05,0.01514944,5.00E-05,1.22E-05,0.005042423,0.001534473,0.003472023,0.00012612,0.001535367,0.00119909,0.000376635,0.000209983,0,0.000206568,0.000141566,0.000653395,0,2.64E-06,0,0,0,0,0,0.00061846,0,0,0.000391809,0,0.00023698,0.000341495,0,0,0.000191217,0.001452592,0.000599593,0,0.008270428,0.026962949,0.004967348,0.024763946,0,2.05E-05,0.066880032,0.000529003,0.000300435,0.000398294,0.014343011,0,0.023914474,0.007614989,0,0,1.85E-05,0,0,0.000430484,0,0.000280049,0.003779629,0,0,0,0.003663523,0,0,0,0.006242913,0,0,0,5.24E-05,0.023320463,0,0,0,0,0,0.001222285,0,0,0,0.001834793,0,4.09E-05,0,0,0,0,0.000175095,0,0,0,0.000105057,0.000287259,0,0.023525712,0,0,0,0,0.06715496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002319953,0,0,0,0,0,0,0.000588078,0,0,0,0
HD-22,0.237422215,0.000520915,0,0.023282431,0.015108321,0.01270852,0.039910151,0.120196157,0.008257539,0.00086811,0.054256721,5.63E-06,0.000121387,0.00145981,0.000815611,0.000365939,0.000541239,0.000535167,0,3.84E-05,0.1167138,0,0.000793015,0.000475298,0.000510896,0.004855264,0.000310887,0.0006159,0.000958113,0,0.0004549,0.000247846,0.000370052,0.02538452,0.000397854,0,0.000103868,4.94E-05,0.000308011,0.083371694,0,0.000277891,7.81E-05,0,0,0,0.000239029,0.000723556,2.74E-05,0,1.37E-05,0.000555753,1.47E-05,0.000591503,3.67E-05,0,0.000103878,0.00163064,0,0,0.004032263,0.036809165,0.027022563,0,0.001117845,0.089728284,0.000194923,0.003233291,4.15E-06,4.77E-05,0.010383635,0,0.01764781,0.009737822,0,0,0.000111739,3.17E-05,0,0,0.00016858,0,0,0,0.000135649,0,0,0,5.11E-05,3.54E-06,0,1.68E-05,0,0.001927023,0.000230692,0.009900566,0,0,0.007284223,0,0,0,0,0,0,0.003310284,1.92E-05,2.68E-05,0,0.000102194,0,0,7.80E-05,0,0,0,4.01E-05,0,0,0.006671271,9.93E-06,0,0,0,0,0,0,0,0,0,0,0.000104137,0,0,0,0,0,1.40E-05,6.02E-06,0,0,0,0,0,0,0,0,0,0,0.000186304,0,0,0,0.000316604,0,0,0,0,0,0
HD-25,0.001041703,0.000280693,0,5.45E-05,3.48E-05,0,5.35E-05,6.83E-05,0,0,0,0,0,0,0.000967627,0,0,0,0,0,0.00024678,0,0,0,0,0.007111,0,0,0.008624486,0,0.065443808,0.003854947,0,2.87E-06,0,0,0,4.41E-05,0,0.133397416,0,0,0,0,0,0,0,0,0.042536355,0,0.000665046,0,0,0,0,0,0,0,0,0,0,1.91E-05,0.002040948,0,0,0.000634009,0,0.624164621,0,0,0,0,0.096934584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003268495,0,0,0,0,0,0,5.93E-05,0,0,0,3.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43E-05,0,0,0,0,0,6.94E-05,0,0.001735342,0,0,0,0,0,0,0,0,0,0.001708593,0,0,0,0,6.31E-05,0,1.48E-05,0,0.000325239,6.57E-06,0,0,0,0.000176112,8.51E-06,0,0,0,0.003358432,0,0,0,0
HD-26,0.21283052,0.069503745,0,0.036944485,0.006302731,8.22E-05,0.029074955,0.024544561,0,0.002311989,0.008762715,0,0.000603653,0,0.001762995,0.001091142,0.019045953,0.000678127,0.001448078,0,0.099718071,0,0.000312114,0.000897437,0.000154564,0,0.000624365,0,0.000184575,0,0.001043981,0,0,0.001593559,0.000322002,0,0,3.60E-05,0.000438174,0,0,0,7.28E-05,0,0,0,0.00020523,0.00011566,0,0,0.001432592,0.001229169,0,0.000767054,0,0,0,0.004920001,0,0,0.000163092,0.064321898,0.006603034,0.005499928,0.00045604,9.34E-05,0.00782918,0.004720781,0.000231008,0,0.002345896,0,0.006420387,0.002030096,0.002552247,0,0.000101252,0.001105272,0,0.000521971,0.000599179,0,0.000492675,0,0,0,0.009128471,0,0,0,0,0,0,0,0.000329503,0,0.000305653,0,0.058185676,0,0,0,0,0,0,0,9.79E-06,0,0,4.62E-05,0,0,0,0,0,0.07490097,0.004773577,0,0,0.000500467,0,0,0,0.000419183,0.193314399,0,0.002629055,0,0,0,0,0,0,0,0,0,0,0,2.26E-05,0.012081286,0.005094626,0,0,0,0,0,0,0,0.000169109,0,0,0,0,0.000763385,0,0,0,0,0,0
HD-30,0.055514815,0.000157473,0,0.00434841,0.004008983,0.016147062,0.005304818,0.057452412,0.000213806,0.000282896,9.57E-05,0.000205102,0.000135769,0.005893744,0.000195609,1.38E-05,0.002680204,9.39E-05,4.91E-05,0,0.044167629,0,0.000481104,2.45E-05,0.000206412,0.002222088,3.62E-05,0.000223547,0.000447536,0.000342045,0.004604876,0,0.000114719,0.007763404,1.92E-05,0,9.93E-05,3.39E-05,5.02E-05,9.71E-05,0,0.000416328,1.14E-05,0,0,0,0,0.000872349,0,0,3.05E-05,0.000405665,0.000119864,1.31E-05,5.82E-05,0,0,0.001920683,1.22E-05,0,0.000122427,0.014639766,0.007222256,0.007896573,6.31E-06,0.003871185,0.010184938,0.012742353,0.000185064,0,0.002909406,0,0.005734749,0,0.004738388,0,6.16E-05,0.000176573,0,0.001223515,0.000343319,0,0.000234207,1.87E-05,6.92E-05,0,0,0.000217712,7.14E-05,0,0,0,0,0,0.104837498,0,0.000978555,0,0.002547451,0,0,0.000239119,0,0,0,0.001716712,0.000810527,0,0,0,0,0,0,0,0,1.27E-05,0,0,0,0.001193129,0,0,0,0,0.043584575,0,0.000161718,0,0,0,0,0,0,0,0,0,0,3.44E-05,0,0,0,0.019096955,0,0,0,0.001549134,0,0,0,0,0,0,0,0,0,0.007678597,0,0,0,0
HD-32,0.011297467,0.016313021,0,0,0.010626645,0.003871506,0.012505793,0.012860653,0,0.001008437,0.049475832,0.000450249,0.000248815,0.000220132,0.003246861,0.000938566,0.002509424,0.000687706,0.000588794,0,0.028620347,0,0.000508725,0.000109871,0.000439997,0.004976298,0.000145256,0,0.002435657,0.002787087,0,0,0.000729508,0.000125022,6.63E-05,0,1.57E-05,0.001038328,0.000278173,0.027317951,0,0.000720151,5.90E-05,0,0,0,0.000372161,0,0.000164116,0,0.506201108,0.000541383,8.51E-05,0.000236922,0.000119996,0.000131748,0.000230268,7.90E-05,9.41E-05,0,0,0.050595569,0.005026431,0.016560225,0.002287372,0.00721936,0.039351973,0.00412179,0,0,0.005754914,0,0.010468965,0.008079369,0.001664155,0,0.000161076,6.15E-06,0,0.00218081,0,0,0.001096567,0,2.88E-05,0,0,0,8.10E-05,0,0,0,0.000866619,0.054146469,0,0.000951559,0.00100752,2.13E-05,0,0,0.000364436,0,0,0,0,2.07E-05,0,0.000198809,0,0.003992113,0,0,0.000975534,0,0,0,0,0.000492139,0,8.31E-05,0,0,0,0,0.002567607,0.002572169,0.004313102,3.68E-05,0.000158024,0,0,0,0,0,0,0,0,3.82E-05,0,0,2.15E-05,0,0,0,7.30E-05,0,0,0,0.00109502,0,0,0,0,8.26E-05,1.43E-05,7.04E-05,0,0,0,0
