sample_id,Phocaeicola.vulgatus,Bacteroides.stercoris,Acidaminococcus.intestini,Eubacterium.sp..CAG.38,Parabacteroides.distasonis,Roseburia.faecis,X.Eubacterium..rectale,Bacteroides.uniformis,Proteobacteria.bacterium.CAG.139,Fusicatenibacter.saccharivorans,Alistipes.putredinis,Collinsella.aerofaciens,Coprococcus.comes,Parasutterella.excrementihominis,Anaerostipes.hadrus,Anaerobutyricum.hallii,Alistipes.finegoldii,Dorea.longicatena,Bifidobacterium.longum,Clostridium.disporicum,Faecalibacterium.prausnitzii,Dialister.invisus,X.Ruminococcus..torques,Blautia.wexlerae,Blautia.obeum,Bacteroides.cellulosilyticus,Agathobaculum.butyriciproducens,Turicimonas.muris,Flavonifractor.plautii,X.Ruminococcus..lactaris,Escherichia.coli,X.Ruminococcus..gnavus,Bilophila.wadsworthia,Roseburia.inulinivorans,Eubacterium.ventriosum,Clostridium.sp..CAG.58,Eggerthella.lenta,Streptococcus.salivarius,Dorea.formicigenerans,Bacteroides.fragilis,Blautia.sp..CAG.257,Ruthenibacterium.lactatiformans,Gordonibacter.pamelaeae,Clostridium.bolteae.CAG.59,Lacrimispora.saccharolytica,Streptococcus.thermophilus,Adlercreutzia.equolifaciens,Firmicutes.bacterium.CAG.83,Enterocloster.bolteae,Collinsella.intestinalis,Prevotella.copri,Roseburia.hominis,Holdemania.filiformis,Gemmiger.formicilis,Roseburia.sp..CAG.471,Streptococcus.parasanguinis,Lawsonibacter.asaccharolyticus,Ruminococcus.bromii,Eubacterium.sp..CAG.180,Bifidobacterium.adolescentis,Ruminococcus.bicirculans,Lachnospira.eligens,Bacteroides.xylanisolvens,Parabacteroides.merdae,Oscillibacter.sp..CAG.241,Phocaeicola.dorei,Bacteroides.caccae,Bacteroides.ovatus,Coprococcus.catus,Megamonas.funiformis,Oscillibacter.sp..57_20,Holdemanella.biformis,Bacteroides.thetaiotaomicron,Odoribacter.splanchnicus,Barnesiella.intestinihominis,Sellimonas.intestinalis,Eubacterium.ramulus,Ruminococcus.callidus,Slackia.isoflavoniconvertens,Butyricimonas.synergistica,Haemophilus.parainfluenzae,Alistipes.inops,Butyricimonas.virosa,Turicibacter.sanguinis,Intestinibacter.bartlettii,X.Clostridium..spiroforme,X.Eubacterium..siraeum,Veillonella.parvula,Enterocloster.citroniae,Anaerotruncus.colihominis,Akkermansia.muciniphila,Bifidobacterium.bifidum,Methanobrevibacter.smithii,Dialister.sp..CAG.357,Lachnospira.pectinoschiza,Bacteroides.finegoldii,Alistipes.shahii,Firmicutes.bacterium.CAG.110,Roseburia.intestinalis,Parabacteroides.johnsonii,Eubacterium.sp..CAG.274,Parabacteroides.goldsteinii,Firmicutes.bacterium.CAG.94,Anaeromassilibacillus.sp..An250,Clostridium.sp..CAG.167,Phascolarctobacterium.faecium,Lactobacillus.rogosae,Firmicutes.bacterium.CAG.95,Clostridium.sp..CAG.242,Alistipes.indistinctus,X.Clostridium..leptum,Bacteroides.galacturonicus,Intestinimonas.butyriciproducens,Eisenbergiella.tayi,Ruminococcaceae.bacterium.D16,Coprococcus.eutactus,Phocaeicola.massiliensis,Bacteroides.eggerthii,Veillonella.atypica,Bacteroides.salyersiae,Enterocloster.asparagiformis,Coprobacter.fastidiosus,Veillonella.dispar,Haemophilus.sp..HMSC71H05,Phocaeicola.plebeius,Paraprevotella.xylaniphila,Bifidobacterium.pseudocatenulatum,Bacteroides.faecis,Bacteroides.nordii,Monoglobus.pectinilyticus,Roseburia.sp..CAG.309,Dielma.fastidiosa,Blautia.hydrogenotrophica,Coprobacillus.cateniformis,Enterocloster.aldenensis,Firmicutes.bacterium.CAG.145,Enterocloster.clostridioformis,X.Clostridium..symbiosum,Enorma.massiliensis,Phascolarctobacterium.succinatutens,Eubacterium.sp..CAG.251,Phocaeicola.coprocola,Tractidigestivibacter.scatoligenes,X.Clostridium..innocuum,Enterocloster.lavalensis,Klebsiella.variicola,Tyzzerella.nexilis,Desulfovibrio.piger,Bacteroides.intestinalis,Hungatella.hathewayi,Erysipelatoclostridium.ramosum,Blautia.producta,Anaerotignum.lactatifermentans,Clostridium.sp..CAG.299,Veillonella.infantium,Klebsiella.pneumoniae,Veillonella.sp..T11011.6,Eisenbergiella.massiliensis,Dorea.sp..CAG.317,disease
CA03,0.167271212,0,0,0,0.014623698,0.012968695,0.010160954,0.06358546,0,0.000873062,0.067472941,0.001005142,0.000995035,0,0.000423853,5.68E-05,0.000183719,0.003369414,0.000286147,0,0.079971504,0.00371079,0.001649153,0.000101681,0.001471173,0,5.86E-05,0,0.000334826,0.005118215,0.000260881,1.35E-05,0.000427167,0.024677528,0.003007393,0.000306318,0,0.0001654,0.001366985,0.008716084,0,3.20E-05,0,0,7.54E-06,0,0,0.000888732,0,1.39E-05,0,0.000381985,2.56E-05,0.000113657,7.06E-05,8.87E-05,0,0.003900933,0.002905452,0.000716737,0.005264237,0.001455901,0.025066268,0.015924043,0.001860018,0.035380224,0.020314187,0.00746506,0.0001639,0,0.006327472,0.003486173,0,0.004066292,0,0,0.001058264,0,4.10E-05,0,4.27E-05,0,0,0,0,0,0.003394894,6.35E-05,2.34E-05,9.20E-05,0,0.000423884,0.000358102,0,0,0,0.000823548,5.25E-06,0.005258469,0,0.000507203,0,0,0,0,0,0,0.000138488,0,0,2.59E-05,0,0,8.27E-06,0,0.00065,0,0,0,0,0,0,2.10E-05,2.51E-05,0,0.00059217,3.16E-05,0,0,2.94E-05,0,3.42E-05,0,0,0,0,0,0,0,0,0.001083325,0,0,0.000268469,0,0,3.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
CA06,0.04941175,0,0,0.000430993,0.007472652,0.048849824,0.020293137,0.076233559,4.73E-05,0.001332058,0.062203005,0.002502532,0,0.001021802,0.002698296,0.01506216,0.003243984,0,0.004394106,0,0.088091322,0.000812154,0.002992786,2.29E-05,0.003924173,0.097209476,0,5.69E-05,0.059411784,0,0.002370188,0.005064911,0.000282336,0,0.007609458,0.007986974,0.000515587,0.000490542,0,0.001800066,0.008317928,0.010855124,0.000311991,0,0.022333866,0,0.000430719,0,7.16E-05,6.55E-05,0,0,0.001849799,0,0,0.000119378,0.041373167,0.146589632,0,0,0,0,0.000102641,0.004223072,0.002706216,0,0.007812996,0.003408139,0,0,0,0,0.002295383,0,0,0.00175286,0,0,0,0,0,0,0,0,0.000134563,0,0.032343944,9.43E-05,0.000335687,0.005385487,0.002522056,0.025153452,0,0,0,0,0.003026479,0,0,0,0,0,0.002117819,0,0,0,0,0,0,0.001627904,0.000979349,0,0,0.00053789,0.000631966,0,0,0,0,0,0.000830522,0,0,0,0,0,0.014766444,0,0,0.000187233,0,0.000973253,0.000864979,0,0.000150568,0.009629088,0.004210665,0.002902882,0,0,0,0,0,0.000585579,0,0,0,0,0,0.001352659,0.001182381,0,0.042707862,0,0,0,0,0.001974828,0.000655221,0
CA08,0.459670938,0.16955098,0.009060236,0.001276077,0.016253485,0,0.000548502,0.140980745,0.005292632,0.000631916,0,0,0,0.00391467,0.001436547,0.000319725,0.002419142,0.00048306,0.000316186,0,0.006418173,0,0.000480948,0.000115121,5.31E-05,0,0.000812414,0.000529194,0.003771589,0,3.83E-05,0.002225076,0,0.00015483,0,0.00063293,4.80E-05,9.38E-05,0,0,6.57E-05,0.00016728,1.02E-05,0.000158541,0,3.84E-05,0,0.000431263,0.001120626,0,0,0,1.86E-05,0,0,2.08E-05,4.77E-05,0.004904018,0,0.000135639,0,0,0,0.005769985,0,0,0.010623502,0.063032837,0,0,0,0,0.018864372,0.002641059,0.02003877,1.33E-05,0.000812096,0,0,0,0,0,6.43E-05,0,0.000100619,0,0,0,3.43E-05,7.72E-06,0,0.001857407,0,0,0,0,0,0,0.005604934,0,0,0,0,0,0,0.000392964,0,0,0,0,0.000139163,0,0,0,0,0,0.01434821,0,0,0,0,0,0,0,0,0,4.84E-05,0,0,0,0,1.66E-05,0,0,3.21E-05,0,0,0,0,0,0,0,0,0,0.000124492,0,0,0,0,3.83E-05,9.62E-05,0,8.84E-05,0,0,0,0,0,0,0
CA19,0.235381072,0.076299308,0,0,0,0.016349036,4.81E-05,0.123327767,0,0,0.158027623,0.00120053,0,0,0.010018323,0.000675518,0.007196058,0,0.005385834,0,0.171030615,0,0.005144423,2.81E-05,0,0.006122573,0.002685012,0,0.005421237,0.007713309,0.006653507,0.000921088,0.000192343,0.010111811,0,0,0.000191881,0.000174725,0,0.007922821,0.005639594,0.000660017,0.000230902,0,0,0.000704214,9.03E-05,0.005592176,0.000233246,6.02E-05,0,0.003401686,0,0,1.09E-05,0.000167185,0.000341635,0,0,0,0,0.035823286,0,0.008774174,0,0,0,0.016819891,0,0,0,0,0,0,0,0.003139155,0.009665303,0,0,0,0,0,0,0,0.000175721,0.000519589,0,0,0.000139125,0.000190997,0.009732599,0,0,0,0,0.007671084,0,0,0,0,0,0,0,0.000104632,0,0.006175417,0,0,0,0,0.007359226,0,0,0,0.000266243,0,0,0,0,0,0,0,0,0,0,0.000983006,0,0,0.000130737,0,0,0.001187811,0.000403179,0,6.21E-05,0,0.000520428,0.000448466,0,0,0,0,0,0.000108655,0.000327104,0.000358016,0,0,0,0.000454765,0.001841412,0.000888912,0.00248439,0,0,0.001057557,0,0.001115601,0.000752217,0
CA20,0,0.021136723,0,0.001713394,0.011537363,0.035511258,0.002072996,0.155607587,0,0.003375468,0.215969047,0.000265532,0.002138788,0,0.001184118,0.000401277,0.006196521,0.002875884,0.000358599,0,0.186083089,0,0.000406052,0.000452507,0.003144286,0.006630095,0.000272564,0,0.000469321,0.002340818,0.018410592,0.000383932,0.000293539,0.002397296,0.000259223,0.000678308,0,0.010729217,0.000225867,0.005467558,4.15E-06,4.85E-05,6.77E-05,0,0,6.28E-05,9.17E-05,0,0,0.000772542,0,0.002311255,0,0.001139674,8.72E-06,0.003129332,0.000469279,0.014634655,0,0.001721478,0.034041673,0.018187323,0,0.023091833,0.001927456,0.055762731,0,0.004818544,9.10E-05,0,0.008998179,0.009189678,0.00198197,0,0,0,0.000978191,0.00069691,0,0,0.000144058,0,0,0,0,0.00199819,0,0.002880197,0,0,0.000487648,0.003116505,0,0.005710923,0.004167131,0.007834353,0,0,0.001025556,0,0,0,0.000126003,0.000200592,0,0,0,0,0,0,0.000148168,8.42E-05,0,0,0,0,0,0,0.000516769,0,3.70E-05,0,0.002882213,0.000100307,0,0.003702181,0,0,0.000163981,0,0.000462688,1.50E-05,0,0,0,0.000111044,0,3.12E-05,7.22E-06,0,0,0.013868347,0,2.67E-05,9.30E-06,0.000301334,0,0,0,0,0,0,0.000200672,0.000376666,0.000543792,0.001544503,0.000249242,0,0,0
CA38,0.324351349,0,0.004581487,0.001830833,0.017513163,0.034134986,0.001588662,0.107278775,0,0.00420718,0,0.00028947,0,0,0,0,0,0,0,2.91E-05,0.003270244,0,0.002478692,0.003996191,0,0,0.000377503,0,0.004913236,0,3.52E-05,0.000224131,0.001484946,0.004398734,0,0.000875955,5.91E-05,0.000155342,0,0,0.000572658,1.94E-05,1.03E-05,0,0,3.33E-05,0,0.000683742,0.00078373,0,0,0,6.34E-05,0.000174972,1.22E-05,6.96E-05,0,0,0,0,0,0,0,0.002031726,2.58E-05,0,0,0.018271142,0,0,0.002711298,0,0.004268878,0,0,8.33E-06,0.000257825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016875883,0.009616497,0,0,0.016007997,0,0,0.00048461,0,7.02E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001438722,0.000499542,0,0,0,0,0,0,1.98E-05,0,0,1.79E-05,0,0,0.01445061,0,0,0,0.000754394,0,0,0,7.51E-05,0,2.58E-05,7.08E-05,0,0.000502263,0,0,0,0,0,0.000157634,0
CA41,0.001650071,0.000249846,0,0,0.000850083,0.008242727,0.059618107,0.006394724,0,0.010262549,0.022135484,0.016813931,0.008178906,0,0.00019586,0.001003781,0,0.013115766,0.003552686,0,0.624187614,0,0.005540032,0.000137614,0.00122655,0,0.020397377,0,0.001736425,0.00011561,0,0,0,0.002918443,0,4.47E-05,0,0.000153505,0.002565974,0,0,0.001629978,5.74E-05,0,0,0,0.00723864,7.03E-05,0,0.000644579,0.007847181,0.000897999,0.000584882,0.004498157,2.55E-05,2.52E-05,0,0.000942924,0.003246208,0.040997837,0,0,0,0.000152452,0,0,0,0,0.000312716,0.000198465,0.000176312,0.000600256,0,0,0.000218392,0,0.001729631,0.000466673,0.006003305,0,0,0,0,0,0,0,0,0,0,0,0.003304091,0,0,0,0,3.96E-05,0.000132026,0.001544788,0.012348212,0,0,0,0,0.001379671,0,0,0,0,0,0.000223645,0.000783829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42E-06,0,0,0,0,0,0.000131414,0.00550349,0.008071007,0,0,0,0,0,0,0.000835903,0,0,0,0,0,0.000107162,0,0,0,0,0,0
CSM5FZ3N_P,0.362189265,0,0,0.001478377,0,0.069019253,0,0.320635923,0,0.016730223,0,0,0,0,0.001703254,0.006622845,0,0.005003457,0,0,0.06610005,0.008482166,0,0,0,0,0.000143095,0,0.007110781,0,3.47E-05,0.003757934,0,0,0,0,0,0,0,0.005287145,0.004264128,0.000828947,0,0.000201574,0.001084427,0,0,0,0.001538822,0,0,0,0,0,0,0,0.000577704,0,0,0,0.007016099,0,0,0,0,0,0.01915769,0,0,0,0,0,0.068621721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10E-05,0.000114965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000828422,0,0,0,0,0,0,0,0.000345284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01941521,0.000135516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000814298,0,0,0,0,2.55E-05,0,1
CSM5FZ3R_P,0.45852371,0.006135938,0,0.00264909,0.000675114,0.00790424,0,0.306348219,0,0.020210334,0.000574718,0,0,0,0.011435589,0.015276693,0,0.001885982,0.00125494,0,0.007040969,0.011234857,0,0.000253039,0,4.04E-05,0,0,0.013988856,0,0,0.000341187,0,0.000427962,0,0,5.10E-05,0,0,0.003567221,0.002693822,0.003790066,0.000647469,0.000125709,0.000549042,0,0.000113392,0,0.000685539,0,0,0.000973049,0,0,0,0,0.001059668,0,0,0.000195994,0.000818954,3.32E-05,0,0.000169104,0,0,0.009366338,9.96E-05,0,0,0,0,0.089932726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297508,0,0,0.00058652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63E-05,0,0.001558097,0,0,0,0,0,0,0,7.96E-05,0,0,0,0,0,0,0,0,0.002780488,0,0,0,0,0,0,0.011485264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000472194,0,0,0,0,0.000433968,0,1
CSM5FZ3T_P,0.678031945,0,0,0,0,0.003796844,0.000767572,0,0,0,0,0,0,0,0.000736457,0,0,0.001177693,0,0,0,0.000524609,0,0,0,0,0,0,0.007888648,0,0,0,0,0,0,0,0,0,0,0.08718022,6.98E-05,0,0,0,0.012613725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021732079,0,0,0.002384323,0,0,0,0,0,0,0.15574698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020433748,0,0,0,0,0,0,0,0.001859259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
