sample_id,Phocaeicola.vulgatus,Bacteroides.stercoris,Acidaminococcus.intestini,Eubacterium.sp..CAG.38,Parabacteroides.distasonis,Roseburia.faecis,X.Eubacterium..rectale,Bacteroides.uniformis,Proteobacteria.bacterium.CAG.139,Fusicatenibacter.saccharivorans,Alistipes.putredinis,Collinsella.aerofaciens,Coprococcus.comes,Parasutterella.excrementihominis,Anaerostipes.hadrus,Anaerobutyricum.hallii,Alistipes.finegoldii,Dorea.longicatena,Bifidobacterium.longum,Clostridium.disporicum,Faecalibacterium.prausnitzii,Dialister.invisus,X.Ruminococcus..torques,Blautia.wexlerae,Blautia.obeum,Bacteroides.cellulosilyticus,Agathobaculum.butyriciproducens,Turicimonas.muris,Flavonifractor.plautii,X.Ruminococcus..lactaris,Escherichia.coli,X.Ruminococcus..gnavus,Bilophila.wadsworthia,Roseburia.inulinivorans,Eubacterium.ventriosum,Clostridium.sp..CAG.58,Eggerthella.lenta,Streptococcus.salivarius,Dorea.formicigenerans,Bacteroides.fragilis,Blautia.sp..CAG.257,Ruthenibacterium.lactatiformans,Gordonibacter.pamelaeae,Clostridium.bolteae.CAG.59,Lacrimispora.saccharolytica,Streptococcus.thermophilus,Adlercreutzia.equolifaciens,Firmicutes.bacterium.CAG.83,Enterocloster.bolteae,Collinsella.intestinalis,Prevotella.copri,Roseburia.hominis,Holdemania.filiformis,Gemmiger.formicilis,Roseburia.sp..CAG.471,Streptococcus.parasanguinis,Lawsonibacter.asaccharolyticus,Ruminococcus.bromii,Eubacterium.sp..CAG.180,Bifidobacterium.adolescentis,Ruminococcus.bicirculans,Lachnospira.eligens,Bacteroides.xylanisolvens,Parabacteroides.merdae,Oscillibacter.sp..CAG.241,Phocaeicola.dorei,Bacteroides.caccae,Bacteroides.ovatus,Coprococcus.catus,Megamonas.funiformis,Oscillibacter.sp..57_20,Holdemanella.biformis,Bacteroides.thetaiotaomicron,Odoribacter.splanchnicus,Barnesiella.intestinihominis,Sellimonas.intestinalis,Eubacterium.ramulus,Ruminococcus.callidus,Slackia.isoflavoniconvertens,Butyricimonas.synergistica,Haemophilus.parainfluenzae,Alistipes.inops,Butyricimonas.virosa,Turicibacter.sanguinis,Intestinibacter.bartlettii,X.Clostridium..spiroforme,X.Eubacterium..siraeum,Veillonella.parvula,Enterocloster.citroniae,Anaerotruncus.colihominis,Akkermansia.muciniphila,Bifidobacterium.bifidum,Methanobrevibacter.smithii,Dialister.sp..CAG.357,Lachnospira.pectinoschiza,Bacteroides.finegoldii,Alistipes.shahii,Firmicutes.bacterium.CAG.110,Roseburia.intestinalis,Parabacteroides.johnsonii,Eubacterium.sp..CAG.274,Parabacteroides.goldsteinii,Firmicutes.bacterium.CAG.94,Anaeromassilibacillus.sp..An250,Clostridium.sp..CAG.167,Phascolarctobacterium.faecium,Lactobacillus.rogosae,Firmicutes.bacterium.CAG.95,Clostridium.sp..CAG.242,Alistipes.indistinctus,X.Clostridium..leptum,Bacteroides.galacturonicus,Intestinimonas.butyriciproducens,Eisenbergiella.tayi,Ruminococcaceae.bacterium.D16,Coprococcus.eutactus,Phocaeicola.massiliensis,Bacteroides.eggerthii,Veillonella.atypica,Bacteroides.salyersiae,Enterocloster.asparagiformis,Coprobacter.fastidiosus,Veillonella.dispar,Haemophilus.sp..HMSC71H05,Phocaeicola.plebeius,Paraprevotella.xylaniphila,Bifidobacterium.pseudocatenulatum,Bacteroides.faecis,Bacteroides.nordii,Monoglobus.pectinilyticus,Roseburia.sp..CAG.309,Dielma.fastidiosa,Blautia.hydrogenotrophica,Coprobacillus.cateniformis,Enterocloster.aldenensis,Firmicutes.bacterium.CAG.145,Enterocloster.clostridioformis,X.Clostridium..symbiosum,Enorma.massiliensis,Phascolarctobacterium.succinatutens,Eubacterium.sp..CAG.251,Phocaeicola.coprocola,Tractidigestivibacter.scatoligenes,X.Clostridium..innocuum,Enterocloster.lavalensis,Klebsiella.variicola,Tyzzerella.nexilis,Desulfovibrio.piger,Bacteroides.intestinalis,Hungatella.hathewayi,Erysipelatoclostridium.ramosum,Blautia.producta,Anaerotignum.lactatifermentans,Clostridium.sp..CAG.299,Veillonella.infantium,Klebsiella.pneumoniae,Veillonella.sp..T11011.6,Eisenbergiella.massiliensis,Dorea.sp..CAG.317,disease
S112,0.037565809,0.031958818,0,0.002717203,0.00333769,0.012107813,0.026255795,0.14429647,0.000407741,0.040809967,0.030441113,0.01617334,0.033810918,0,0.010196266,0.00366083,0.004641599,0.039709681,0.003950719,0.001517582,0.224378639,0.001975559,0.023803953,0.0027727,0.033437618,0,0.001888426,0,0.001545102,0.007982849,0,0,0,7.45E-05,0,0.001657792,0.000206769,0.0015685,0.003529021,0,0,0.006076499,0.004204767,0,0,0.002094994,0.001256805,0.017092585,0,4.42E-05,0,0,0,0.002143512,0.000143602,0.000324398,0.000131785,0,0,0.019960117,0.012677707,0.00645796,0,0.044315777,0,0.008381056,0,0,0.003326845,0,0.006200688,0,0.003547173,0,0.01942665,0.005861875,0,0,0.014906538,0,0,0.006965464,0,0,0.007943023,0.000262667,0,0.002124952,0,0.002903438,0,0,0,0,0.008225458,0,0.000197956,0,0.005257631,0,0,0,0.000600893,0.000815666,0,0.019650931,0,0,0,0,0.000998748,0.000488276,0,0,0.000514461,0,0,0,0,0,0,0,0,0,0,0.003777703,0.006888242,0,0,5.35E-05,0,0,0,0,0,0.001532073,0,0,3.63E-05,0,0,0,0,6.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
S118,0,0,0,0.000695091,0.014792703,0.009237088,0.004130478,0.02097237,0.005238652,0.003536924,0.102637383,0.000538674,0.000622362,0.009596145,0.001934065,0.003309542,0.183289729,0.007034159,0.000665118,0,0.033686144,0.001757227,0.000635177,0.003477256,0.000768981,0.00259515,0.001912106,0.001812984,0.000722207,0.001483323,0.006794416,0,0.000589517,0.002078701,0.0026281,5.06E-05,0,3.38E-05,0.002247409,0.028921766,0,0.00016913,0.000435935,0,0,0,0.000626506,0.000843394,0,6.72E-06,0,0.004791656,0,0.000381133,0.000238647,0,0.000226375,0.025887949,0,0.001164629,0.004441553,0.011867363,0,0.006981,0.002080552,0.02809676,0.168057357,0.009394872,0.000223105,0,0.014029555,0.000767207,0.007900337,0.007647795,0.005793828,0,0.001063085,0,0,0,0,0,0.001701054,0,3.87E-05,0,0.000741937,0.000198854,0,0,0.061551391,0,0,0,0.02382084,0,0.003739369,0.002990598,0.006371985,0,0,0,0,0,0.00025323,0,0.0004355,0.000503461,0,0.000489562,0,0.004886186,3.21E-05,0,0,0.039052663,0,0,0,0,0,0,0,0,0.072726865,0,0,0,0,0.0006234,0,0.001416107,0,0,0,8.77E-05,0,0,0,0,0,0.008929821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S121,0.095568998,0,0,0.011695024,0.008579902,0.18765723,6.91E-05,0.025164987,0.000784814,0.011663812,0.019145645,0.004505095,0.00374182,0.020260293,0.002221101,0.002532447,1.69E-05,0.009814166,0.003288886,0,0.11175877,0.005113405,0.003351863,0.003171199,0.000967158,0,0.002871588,0.000998536,0.001195301,0.001067386,0,0,2.87E-05,0.001474859,0.003961083,0,0,0.001169886,0.001590436,0.004175263,0,0.000151001,0.000544693,0,3.42E-05,0.000450372,0.000254933,0.001188877,0,2.72E-05,0,0.000781396,0,0.001148892,0.00027774,0.002259329,0.000860636,0.008071403,0,0.007903316,0.010390173,0.012062962,0,0.043747182,0.00350126,0.101058215,0.007934606,0.024939896,0.001087973,0,0.004482378,0,0.00164423,0.004055066,0.012867725,0,0.001733364,0.004607323,0.001078153,0,0,0.002660271,0,0,0.000755757,0.000629379,0.007002675,0.001892692,0,0,0.002174472,0,0,0,0,0,0.000739329,0.000465511,0.006781803,0,0.000256397,0,0.000218324,0.000269217,0.006802921,0,0,0,0,0,0.000479945,0,0,0,0,0.020492986,0,0.073764142,0,0,0,0,0,0,0,0,0,0.007620064,0,0.001888787,0.001395693,0,0,0,0,0.000342948,0,0,2.59E-05,0,0.008534271,0,0,0,0,0,0,0.00161289,0,0,0,0,0,3.33E-05,0,0,0,0,0,0
S127,0.009339719,0,0,0.012577955,0.011243079,0.01594841,0.003768455,0.037958903,0,0.003509974,0.027657506,0.004478764,0.003775271,0.001033165,0.00212336,0.00220864,0.002089486,0.009375423,0.001974548,0.000600476,0.161879232,0,0.001935712,0.000944601,0.007862975,0,0.000239658,0,0,0.012119942,0,0,0.000426652,0.023913614,0.000450891,0,0,0.001937056,0.002301487,0.001436108,0,0.001285454,3.05E-05,0,0,0.000575465,0.000606785,0.00139983,0,6.08E-05,0.005241248,0.003151472,0,0.00057953,5.41E-05,0.001554598,0.000428188,0.034913972,0,0.005191463,0.002684604,0.014637666,0.003912535,0.017321502,0.00104733,0.040046003,0.026004334,0.003935325,0.001422638,0,0.00475778,0,0.006048182,0.009208953,0.0025042,0,0.001084934,7.19E-05,0.000942196,0,0,0,0.000516206,0.00054113,0.001933603,0,0.002694306,0.00036629,0,0,0.005175108,0,0.00328082,0,0.001516611,0,0.001034628,0.003201916,0.001423511,0,0,0,0,0.000637602,0,0,0.000217989,0.001182424,0,0,0.033202128,1.55E-05,0,0,0,0.042868962,0,0,0,0,0,0.001548794,0,0,0,0.008824916,0,0,0,0,0.001405577,0,0,0,0,0,0,0,2.17E-05,0,0,0,0.000185813,0,0,0,0,0.002395254,0,0,0,0,0,0,0,0,0,0,0,0
S131,0.062573571,0.026797974,0,0.000102129,0.017857559,0,0.029864833,0.060002636,0,0.007711252,0.049208687,0.018683006,0.010306688,0,0.031383533,0.005996338,0.009462198,0.003184633,0.020720581,0,0.021977062,0,0.006893695,2.87E-05,0.019085333,0.017417492,0.00226698,0,0.00543785,0,0.001945604,0.000520585,0.000519674,0.001933232,0.001810225,0.005954841,0,0.000284803,0.004488235,0,0.033447582,0.004347084,0.00028914,0,0.000192888,0.000489509,0.003727487,0.005675058,0.001305931,0.003143026,0,0.004618115,5.41E-05,0.00203326,9.78E-05,0,0.00104269,0,0,0,0,0,0.000167005,0,0.005029531,0.001393373,0.02917309,0.001096348,0.003426003,0,0,0.000679384,0,0.010315382,0.001087396,0,0.003114487,0,0.002944072,0,0,0.013444794,0.001233084,0,0,0.001929227,0.225967491,0,0,1.46E-05,0.000325234,0,0.043850886,0,0.021538374,0.000826378,0.016047215,0.001276553,0,0,0.018068201,0.007177804,0.01289018,0,0,0,0.000509011,0,0,0,0.000504452,0,0.000441585,0.000103384,0,0,0.000731324,0,0,0.000153194,0,0,0,0,0,0.003986567,0,0.001996019,0,0,0.000520115,0,0.001212176,0,0,0.000807493,0,0,0.000260617,0,0,0,0.000430229,0.000173117,0,0,0,0.002808432,0,0,0,0,0,0,0,0,0,0.000813723,0.014418014,1
S137,0.033848265,0.007174854,0,0,0.031519018,0.008496169,0.011337922,0.099889299,0,0.002549507,0.015049397,0.001752558,0.004689629,0,0.002981867,0.000465831,0.003271859,0.004632443,0.002654909,3.57E-05,0.017594742,0,0.007130895,6.79E-05,0.000431598,0.001008862,0.000209637,0,0,0.000697157,0,0,0,0.000118382,0,8.58E-05,0,0,0.000595254,0,0,0.000258429,4.45E-05,0,0,0,8.19E-05,0.000901199,0,0,0,3.03E-05,0,0.000206612,0,0,0.002613713,0.089646001,0.003079858,0.000220362,0.001492954,0.002665629,0.002003966,0.00679437,0.001311764,0.056976126,0.006079618,0.0012422,0.001056801,0,0.001419466,0.000112893,0.000902492,0.004860319,0.074077999,0,0.000702449,0,6.54E-05,0,0,0.006589677,0.000674159,0,0.001679728,0,0.0079907,0,0,0,0.000436286,0.000181986,0.054625774,0,0.000315599,0,0.012159641,0.001263135,0.000755381,0,0,0.000813733,0.015439803,5.71E-05,0.002531867,0,0,0,0.000136548,0.001227093,0,0,0,0,0,0.002283437,0.019880462,0.112288746,0,0,0,0,0,0,0.071248215,0.006154021,0,0,0,0,0.000489417,0,0,0,0,0,0,0,0,0.041859493,0.004197423,0,0,0,0,0,0,0,0.000191054,0,0,0,0,0,0,0,0,0,0,0
S141,0,0,0.001853207,0.036867392,0,0.030839139,0.001538094,0.070644773,0.010864303,0.026642494,0.07038229,0.004243226,0.007990478,0.021656776,0.003141068,0.004091729,0.007039563,0.004942705,0.003797383,0,0.111838109,0.000587901,0.005323837,0.000109511,0.003814559,0.040431062,0.002314546,0.000279583,0.000797502,0,0.000474374,0,0.001126739,0.014644917,0.004869434,0.001586887,7.00E-05,0.000631747,0.001319244,0.026155406,0,4.28E-05,0.00155697,0,0,0.007916958,0.00113725,0.000163691,6.58E-05,3.46E-05,0,0.002031517,0,0.00132789,6.71E-06,2.16E-05,0.000847169,0.018596912,0,0.001366235,0.009882414,0.067446593,0.00840126,0,0.001442182,0.17418106,0.07437522,0,0.001479383,0,0.000774459,0,0.026117821,0.006578896,0.001782053,0,0.003785612,0,0,0,3.14E-05,0.001850532,5.21E-05,0,0,0,0.00018701,0,1.48E-05,0,0.000483439,0,0.000155011,0,0,0,0.001984287,0,0,0,0,0,0,0,0.007739291,0,0,0,0.001472446,0.000166851,9.19E-05,0,0,0,0,0,0,0,0,0,0.000170254,0.002478566,0,0,0,0,0.000253353,0,0,0.000154164,0.000709395,0,4.33E-05,0,0,5.50E-05,0,0,0,0,0.020369657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S143,0.202712915,0.026372041,0,0.000474362,0.015085264,0.033112023,0.090112856,0.030142203,0,0.012682924,0.080822661,0.002045861,0.000128124,0,0.007419223,0.003898604,0.012948467,0.002625389,0,2.54E-05,0.051907851,0.035384335,0.000124243,0.000256011,0.002761841,0.023893937,0.001923007,0,0.001900946,0.000510038,0.007951571,0,0.000191943,0.005728229,0.003014784,0.000479937,0.000501371,0.00211088,0.001931288,0.002021335,0,0.003693268,0.000680377,0,0,0.000232707,0.001086099,0.017367006,0,2.36E-05,0,0.000208782,0.000233713,0.001097326,0,5.12E-05,6.56E-06,0.025539965,0,0.01166242,0.011044704,0.012850076,0.000327596,0.053039178,0.000232585,4.25E-05,0.031936775,0.00058498,0.001733529,0,0,0.00117509,0.010768572,0,0,0,0.000864664,0,0,0,0,0.000654105,0,0.000254861,0.000141158,0,0.002087762,0,0,9.46E-05,0.003552771,0.008223037,0.001779738,0,0.009063821,0,0.00998479,0,0.000760955,0,0.000730273,0,4.24E-05,0.00010012,0.001537223,0,0.00180008,0.000711765,0,0,5.63E-05,8.10E-05,0.000127202,0,0,0.056923847,0,0,0,0,0,0,7.56E-05,0,0,0,0.006946951,0,0,0,0,0,0,0.003252222,0,0.000102628,0,0,1.14E-05,0,0,0,0,0.000628573,0,0,0,0,0,0.001386772,0,0,0,0,0,0,0,0,0,0
S144,0,0,0,0,0.175186136,0,0.011849606,0.356593781,0,0.013262823,0,0.011291943,0.006395383,0,0.014316624,0,0,0.026649686,0,0,0.000248288,0.000530629,0.004038013,0.000679966,0.008759935,0,0,0,0,0.005202729,0.000804217,0,0.006825548,0.000722758,0,0.007508843,0.000233652,0.001316789,0.00387882,0,0,0.00543107,0.007186554,0,0.008050637,0.001277251,0.012502338,0.005173915,0.000493626,0.000153042,0,0,0.000757117,0.000482781,0,0.000631398,0.000705727,0,0,0.019747077,0.007378712,0.036847598,0.018894815,0,2.66E-05,0,0,0.032568372,0.003988722,0,0.000643442,0.026321601,0,0,0,0,0.008832837,0.002115645,0.015978531,0,0,0,0,4.77E-05,0,0,0,0,4.78E-05,0.0008027,0.004416769,0,0.012568965,0,0.000100929,0,0,0.000159792,0.007621684,0,0,0,0,0,0.021097124,0,0,0.000105432,0,0,0.003628969,0,3.49E-05,0.000749167,0.000346597,0,0,0,0,0.044684558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000903055,0.000601227,0,0.000127567,0,0,0,3.16E-05,0.000577236,0.000613269,0,0,0,0,0.000121208,0.000119279,0,0,0,0,0,0,0,0,1
S146,0.018191286,0,0,0.001936163,0.007980555,0.053246542,0.030278428,0.100446261,0,0.009480818,0.013656123,0.00505968,0.003756378,0,0.003991262,0.001109186,7.69E-05,0.005163977,0.004355762,0.003545748,0.082620135,0,0.00121291,0.00149915,0.006127989,0.000129291,0.001919768,0,0.000675122,0.001618932,0.089394243,0.071371362,4.95E-05,0.006836897,0.007160401,0.001882693,0.000101975,0.000789758,0.000819029,0,0,0.000445958,0.000128868,0,0.000202929,0,0.004269602,0.00542122,0,4.41E-05,0,0.000327928,0,0.00035616,1.47E-05,0.000421837,0.000561383,0.022955237,0.060939857,0.003486255,0.013097954,0.000614436,0.001036925,0.012245505,0,0.005950258,0.007064338,0.000148489,0.002103814,0,0.000157858,0.001531714,0.013966613,0.001259973,0.003623837,0,0.000264025,0,0.003235927,0,0,0,0,0.000664023,0.010394664,0.000106961,0,0.001279486,0,0,0.000464531,0,0,0,0,0,0.00055576,0.000287949,0.077563101,0,7.28E-05,0.00030634,0.00023727,0,0,0,0,0,0,7.75E-05,0.000233195,0,0.00042863,0,0,0,0.000689053,0,0.000250655,0.001804206,0,0,0.002112681,0,0,0.003798749,0,0,0,0,0.000191717,0,0,0,0,7.14E-05,0,0,3.47E-05,0.008903082,0,0,0,0,0,0,0,0,0.005022025,0,0.003818545,0,0,0,0.000696638,0,0,0,0,0
